country,total
"South Korea",NULL
Pakistan,NULL
Turkey,NULL
Italy,NULL
Hungary,NULL
Vietnam,NULL
Egypt,NULL
Poland,25
Chile,30
"New Zealand",45
Luxembourg,45
Thailand,55
Lithuania,60
Switzerland,62
Seychelles,75
Romania,80
Japan,85
Malaysia,100
Portugal,115
Bulgaria,120
Colombia,130
Norway,140
Myanmar,200
Denmark,240
Finland,250
Spain,250
Ireland,257
Mexico,270
Senegal,300
Argentina,323
Estonia,333
Kenya,349
Russia,400
Austria,570
"Hong Kong",730
France,915
"United Arab Emirates",995
Nigeria,1882
Australia,2324
Indonesia,3521
Israel,3638
China,5905
Singapore,5995
Canada,6319
"United Kingdom",6398
Germany,8701
Brazil,10391
Sweden,11264
Netherlands,17220
India,35993
"United States",256559
